id,status,name,similar,simHouse,type,char,group,season,notesTop,notesHeart,notesBase,badge,desc
11,in_stock,Porto Chervo,Neroli Portofino,Tom Ford,uni,fresh,цитрусовые фужерные,,"Бергамот, Мандарин, Лимон, Горький апельсин, Лаванда, Розмарин и Мирт","Африканский апельсиновый цвет, Нероли, Жасмин и Питоспорум","Амбра, Амбретта и Ангелика",,"Tom Ford Neroli Portofino — солнечная открытка с итальянской Ривьеры. Созданный в 2011 году, этот аромат стал воплощением беззаботного средиземноморского лета. Нероли, мандарин и бергамот сверкают в открытии, а жасмин и питоспорум передают аромат прибрежных садов. Основание из амбры и амбретты удерживает ту самую тёплую кожу на морском бризе. Идеален для лета и путешествий.

Этот аромат чаще ищут: Tom Ford Neroli Portofino, Том Форд Нероли Портофино, цитрусовый летний парфюм унисекс, TF neroli portofino отзывы, том форд морской нероли"
12,in_stock,Hypnosis,Fleur Narcotiq,Ex Nihilo,uni,floral,цветочные фруктовые,,"Личи, Бергамот и Персик","Пион, Цветок апельсина, Жасмин и Петалия (аромат пиона и розы)","Мускус, Мох и Древесные ноты",hit,"Ex Nihilo Fleur Narcotique — роскошное цветочное колдовство от парижского нишевого дома. Аромат открывается сочной тропической вспышкой личи и персика, переходя в пышный букет из пиона, жасмина и нарцисса. Именно здесь и живёт его «наркотическое» обаяние — в этом точно выверенном балансе сладкого и зелёного. Дом Ex Nihilo был основан в Париже в 2013 году с идеей создавать ароматы как ювелирные украшения — штучно и безупречно.

Этот аромат чаще ищут: Ex Nihilo Fleur Narcotique, Экс Нихило Флер Нарцотик, нишевый цветочный парфюм личи пион, ex nihilo парфюм отзывы, французский нишевый флораль"
13,in_stock,Desert Suede,Santal 33,Le Labo,uni,fresh,древесные фужерные,,"Сандал, кожа, папирус, вирджинский кедр, кардамон, фиалка, ирис, амбра",,,,"Le Labo Santal 33 — культовый аромат, ставший символом целой эпохи нишевой парфюмерии. Созданный в 2011 году, он покорил Нью-Йорк, а затем весь мир своим ковбойским характером: мягкий кремовый сандал переплетается с дымной берёзой, кожаными нотами и сухим кедром. Часто говорят, что это «аромат Бруклина» — небрежный, современный, узнаваемый с первого вдоха. Le Labo принципиально смешивают каждый флакон вручную с датой.

Этот аромат чаще ищут: Le Labo Santal 33, Ле Лабо Сантал 33, сандал кожа парфюм унисекс, labo santal 33 отзывы, культовый нишевый сандал"
14,in_stock,Moon Sunrise,Ganymede,Marc Antoine Barrois,uni,oriental,древесные пряные,,Шафран и Итальянский мандарин,"Китайский османтус, Лист фиалки и Бессмертник","Минеральные ноты, Замша, Akigalawood, Мускус, Кедр и Пачули",,"Marc Antoine Barrois Ganymede — авангардный аромат, созданный совместно с легендарным парфюмером Квентином Бишем. Своё название он получил в честь Ганимеда — прекраснейшего из смертных, похищенного Зевсом. Шафран и мандарин открывают его с тёплой пряностью, османтус придаёт фруктово-абрикосовую бархатистость, а финал из замши и акигалавуда делает его современным и запоминающимся. Аромат для тех, кто ценит нестандартное.

Этот аромат чаще ищут: Marc Antoine Barrois Ganymede, Ганимед парфюм, Barrois Ganymede унисекс, нишевый шафран замша парфюм, marc antoine barrois отзывы"
15,in_stock,Oud & Honey,Magic,Al Jeazeera,uni,floral,восточные цветочные,,Озон и Соль,Турецкая роза и Пралине,"Ваниль, Amber Xtreme и Пачули",hit,"Al Jazeera Magic — ориентальная сказка с восточным характером. Аромат открывается чистым озоновым аккордом с морской солью, создавая иллюзию свежести пустынного ветра, а затем раскрывается пышной турецкой розой и сладким пралине. Ваниль и пачули в основании добавляют мягкую, тягучую глубину. Это аромат для вечеров и торжественных моментов.

Этот аромат чаще ищут: Al Jazeera Magic, Аль Джазира Мэджик, ориентальный роза ваниль парфюм, восточный сладкий парфюм унисекс, oud honey парфюм"
16,in_stock,Devil Dress,Kirke,Tiziana Terenzi,uni,sweet,шипровые фруктовые,,"Маракуйя, Персик, Груша, Малина, Лист черной смородины и Песок",Ландыш,"Мускус, Сандал, Ваниль, Пачули и Гелиотроп",hit,"Tiziana Terenzi Kirke — взрывное начало истории о волшебнице Кирке с острова Эя. Итальянский нишевый дом создал аромат, в котором тропические фрукты — маракуйя, персик, груша, малина — сплетаются в гипнотическую мозаику. Единственная нота ландыша в сердце словно очищает и освежает этот щедрый фруктовый букет, а мускусно-сандаловое основание удерживает его долгими часами. Настоящий летний гедонизм.

Этот аромат чаще ищут: Tiziana Terenzi Kirke, Тициана Терензи Кирке, фруктовый нишевый парфюм, итальянский нишевый Kirke отзывы, маракуйя персик парфюм"
17,in_stock,Lumière,Gumin,Tiziana Terenzi,uni,fresh,,"весна / лето / осень, день","Мандарин, Апельсин, Ананас и Бергамот","Озон, Амбра, Фиалка, Жасмин и Роза","Мускус, Сандал, Береза и Уд",hit,"Tiziana Terenzi Gumin — солнечный и лёгкий аромат от итальянского дома, вдохновлённый духом Средиземноморья. Мандарин, апельсин и ананас создают искристое, праздничное начало, которое плавно переходит в цветочно-амбровое сердце с нотами фиалки и жасмина. Мускус, сандал и берёза в основании дают ощущение чистоты и воздушности. Универсальный аромат для тех, кто ищет лёгкую нишевую роскошь.

Этот аромат чаще ищут: Tiziana Terenzi Gumin, Тициана Терензи Гумин, итальянский нишевый цитрусовый, Gumin парфюм унисекс, tiziana terenzi gumin отзывы"
18,in_stock,Coastal Sage,Wood Sage & Sea salt,Jo Malone,uni,fresh,фужерные,,"Морской воздух смешивается с запахами соли, песка, гальки и морских коряг, образуя естественный, свежий и сложный аромат, сочетающий в себе ноты дерева и моря, воплощающий собой свободу и дух природы.",,,,"Jo Malone Wood Sage & Sea Salt — глоток свежего морского воздуха в небольшом флаконе. Этот аромат 2014 года стал одним из самых узнаваемых в коллекции дома: шалфей и морская соль создают минималистичную, почти медитативную картину побережья. Никакой сладости, никакой напыщенности — только честный запах гальки, влажного дерева и ветра. Jo Malone — британский дом, где каждый аромат существует как отдельная история.

Этот аромат чаще ищут: Jo Malone Wood Sage Sea Salt, Джо Малон морская соль шалфей, морской парфюм унисекс, Jo Malone Wood Sage отзывы, британский нишевый парфюм морской"
19,in_stock,Berry & Moss,Balckberry Bay,Jo Malone,f,floral,цветочные фруктовые,,"Ежевика, лавр, грепфрут, кедр, ветивер, цветочные ноты",,,,"Jo Malone Blackberry & Bay — ароматный snapshot осеннего британского сада. Ежевика с лавровым листом создают контраст, который невозможно забыть: сладкое и терпкое, знакомое и неожиданное. Грейпфрут добавляет лёгкую цитрусовую яркость, кедр и ветивер удерживают аромат в земном, растительном ключе. Один из подписных ароматов дома Jo Malone — для тех, кто любит природу во флаконе.

Этот аромат чаще ищут: Jo Malone Blackberry Bay, Джо Малон ежевика лавр, ягодный парфюм Jo Malone, jo malone blackberry отзывы, британский фруктовый парфюм женский"
20,in_stock,Verdant,Herba Pura,Xerjoff,uni,fresh,восточные,,"Сицилийский апельсин, Калабрийский бергамот и Сицилийский лимон",Фруктовые ноты,"Белый мускус, Мадагаскарская ваниль и Амбра",hit,"Xerjoff Erba Pura — настоящая легенда итальянского нишевого дома, выпущенная в 2017 году. «Чистая трава» в названии обманчива: за ней скрывается феерически сладкий, летний и солнечный аромат. Сицилийские цитрусы — апельсин, бергамот, лимон — составляют фундамент, поверх которого расцветает белый мускус с мадагаскарской ванилью. Результат — ощущение итальянского пляжа, разлитое во флаконе ручной работы.

Этот аромат чаще ищут: Xerjoff Erba Pura, Ксерджофф Эрба Пура, итальянский нишевый цитрус ваниль, xerjoff отзывы, сладкий летний нишевый парфюм"
21,in_stock,Rouge de Feu,Baccarat Rouge 540,Kurkijan,uni,floral,восточные цветочные,,Шафран и Жасмин,"Amberwood, Серая амбра и Гедион","Еловая смола, Кедр, Сахар, Ambroxan и Дубовый мох",hit,"Maison Francis Kurkdjian Baccarat Rouge 540 — аромат, изменивший парфюмерную индустрию. Созданный в 2015 году по заказу хрустальной мануфактуры Baccarat к её 250-летию, он быстро стал самым узнаваемым нишевым ароматом эпохи. Шафран и жасмин открываются пикантно и тепло, amberwood создаёт сладко-смолистое сердце, а финишный аккорд кедра и амброксана оставляет бесконечный след. Это аромат-статус.

Этот аромат чаще ищут: Baccarat Rouge 540, МФК 540, Баккара Руж, Francis Kurkdjian BR540, baccarat rouge отзывы, нишевый парфюм красный флакон"
22,in_stock,Saffron Velvet,Arabian Tonka,Montale,uni,woody,восточные древесные,,Шафран и Бергамот,Уд и Болгарская роза,"Бобы тонка, Сахарный тростник, Амбра, Белый мускус и Дубовый мох",hit,"Montale Arabian Tonka — восточная поэзия в аромате. Парижский дом Montale, основанный Пьером Монталем после жизни в Саудовской Аравии, умеет создавать ориентальные ароматы с французской точностью. Arabian Tonka начинается с пряного шафрана и бергамота, в сердце открывается уд с болгарской розой, а долгий шлейф из тонки, амбры и дубового мха создаёт бархатистую, тёплую ауру. Для ценителей восточного стиля.

Этот аромат чаще ищут: Montale Arabian Tonka, Монталь Арабиан Тонка, ориентальный шафран уд парфюм, montale отзывы, восточный тонка парфюм унисекс"
23,in_stock,Rose Supreme,Roses Musk,Montale,f,woody,цветочные древесно-мускусные,,"роза, мускус, жасмин",,,hit,"Montale Roses Musk — роза в её самом нежном и чистом проявлении. Montale сохранил здесь красоту цветка, не перегружая его слоями: свежая роза, поддержанная жасмином, плывёт в мягком облаке белого мускуса. Аромат невесом, почти акварелен — идеален для тех, кто любит флоральные, но избегает тяжёлого. Хороший выбор для повседневного использования и офиса.

Этот аромат чаще ищут: Montale Roses Musk, Монталь роза мускус, цветочный мускусный парфюм женский, Montale Rose Musk отзывы, лёгкий розовый парфюм"
24,in_stock,Ambroxane,Molecule 02,Escentric Molecules,uni,fresh,восточные,,Ambroxan,,,,"Escentric Molecules Molecule 02 — парфюм-невидимка на основе единственной молекулы амброксана. Этот аромат не существует в привычном смысле — он создаётся заново на каждом человеке, реагируя на pH кожи. Кто-то ощущает его почти морским и чистым, кто-то — тёплым и немного животным. Берлинский дом Escentric Molecules, основанный Гезой Шёном, изменил правила: один ингредиент — один парфюм.

Этот аромат чаще ищут: Escentric Molecules Molecule 02, молекула 02 амброксан, Escentric 02 отзывы, молекулярный парфюм унисекс, единственная молекула парфюм"
25,in_stock,Nomad Smoke,Gypsy Water,Byredo,uni,fresh,древесные фужерные,,"Можжевельник, Лимон, Бергамот и Перец","Иглы сосны, Ладан и Корень ириса","Ваниль, Сандал и Амбра",,"Byredo Gypsy Water — аромат вечных странников и ночных костров. Шведский дом Byredo, основанный Беном Горхэмом в 2006 году, создал в нём романтику цыганской свободы: можжевельник, перец и лимон открывают его по-лесному свежо, а ладан и корень ириса придают средней части медитативную глубину. Сандал и амбра в основании — тёплые, уютные, как угасающий огонь. Культовый нишевый хит.

Этот аромат чаще ищут: Byredo Gypsy Water, Бирэдо Джипси Уотер, Byredo цыганская вода, нишевый древесный унисекс byredo, gypsy water отзывы"
26,in_stock,Savanna Dance,Bal D'Afrique,Byredo,uni,floral,цветочные,,"Бергамот, African Marigold и Бучу",Фиалка и Цикламен,Ветивер и Кедр,hit,"Byredo Bal d'Afrique — приглашение на бал в лунную африканскую ночь. Этот аромат — дань уважения художнику Александру Калдеру и его поездкам в Африку. Африканский бархатец и бучу создают экзотическое и зелёное открытие, фиалка добавляет пудровую мягкость, а ветивер с кедром заземляют всё в земном, тёплом шлейфе. Byredo умеет рассказывать истории через запах — и эта одна из лучших.

Этот аромат чаще ищут: Byredo Bal d'Afrique, Бирэдо Бал Д'Африк, африканский цветочный парфюм, byredo bal d afrique отзывы, нишевый экзотический унисекс"
27,in_stock,Ethereal,Blanche,Byredo,f,floral,цветочные альдегидные,,"Альдегиды, Роза и Розовый перец","Пион, Фиалка и Африканский апельсиновый цвет","Мускус, Древесные ноты и Сандал",,"Byredo Blanche — чистота, возведённая в абсолют. В мире, где парфюмерия всё больше усложняется, Blanche говорит о простоте: свежие альдегиды, едва уловимая роза и пион создают ощущение белого постельного белья, только что с сушки на солнечном балконе. Бирэдо намеренно делает его почти нейтральным — это аромат чистой кожи, существующий на грани восприятия.

Этот аромат чаще ищут: Byredo Blanche, Бирэдо Бланш, белый чистый альдегидный парфюм женский, byredo blanche отзывы, нишевый нежный женский парфюм"
28,in_stock,Akigal No. 3,Bois Imperial,Essential Parfums,uni,fresh,фужерные,,"Акигалавуд, древесные ноты, базилик, ветивер, перец тимут, амброксан, пачули",,,,"Essential Parfums Bois Impérial — одна из самых дерзких работ парфюмера Кьяры Фогарини. Акигалавуд — синтетический ингредиент нового поколения — здесь звучит во всю мощь: сухое, тёплое, почти металлическое дерево с пряной горчинкой перца тимут. Пачули и ветивер дают земную глубину, амброксан — современную прозрачность. Парижский дом Essential Parfums предлагает нишевое качество по демократичной цене.

Этот аромат чаще ищут: Essential Parfums Bois Imperial, Эссэншл Парфюм Буа Империаль, акигалавуд парфюм, essential parfums отзывы, нишевый древесный унисекс акигала"
29,in_stock,Belle Evidence,La vie est belle,Lancome,f,floral,цветочные фруктовые сладкие,,Черная смородина и Груша,"Ирис, Жасмин и Цветок апельсина","Пралине, Ваниль, Пачули и Бобы тонка",hit,"Lancôme La Vie Est Belle — «жизнь прекрасна» в каждом флаконе. Этот аромат 2012 года занимает особое место в истории: он разошёлся тиражами, которые мало кому снятся, и при этом не потерял очарования. Парфюмер Оливье Польж вывел «иристый гурман» — когда ирис, редкий и утончённый, встречается с пралине и ванилью в одном аккорде. Результат — сладкий, нежный, праздничный шлейф, который хочется носить снова и снова.

Этот аромат чаще ищут: Lancome La Vie Est Belle, Ланком жизнь прекрасна, ирис ваниль пралине парфюм, la vie est belle отзывы, сладкий французский женский парфюм"
30,in_stock,Fearless,Libre,YSL,f,fresh,восточные фужерные,,"Лаванда, Мандарин, Черная смородина и Петитгрейн","Лаванда, Цветок апельсина и Жасмин","Мадагаскарская ваниль, Мускус, Кедр и Серая амбра",hit,"YSL Libre — декларация свободы от Saint Laurent. С 2019 года этот аромат стал символом женщины, живущей по собственным правилам. Парфюмер Карло Беллавита соединил лаванду Прованса с цветком апельсина — и это было революционно: никогда прежде лаванда не звучала так женственно и страстно. Мадагаскарская ваниль и серая амбра в финале придают ему тёплую, обволакивающую долговечность.

Этот аромат чаще ищут: YSL Libre, Ив Сен Лоран Либре, лаванда женский парфюм YSL, Libre отзывы, оранжевый флакон YSL женский"
31,in_stock,Noir Café,Black Opium,YSL,f,oriental,восточные гурманские,,"Груша, Розовый перец и Цветок апельсина","Кофе, Жасмин, Горький миндаль и Лакричник","Ваниль, Пачули, Кашемировое дерево и Кедр",hit,"YSL Black Opium — ночная версия классической «Опиум». С 2014 года этот аромат определяет эстетику ночного города. Кофе в его сердце — не банальный кофейный аромат, а почти наркотический, горьковатый, насыщенный. Розовый перец добавляет остроты, жасмин — томность, а ваниль с пачули создают долгий, чёрный, безупречный шлейф. Это аромат для тех, кто не спит до рассвета.

Этот аромат чаще ищут: YSL Black Opium, Ив Сен Лоран Блэк Опиум, кофейный женский парфюм, black opium отзывы, чёрный флакон YSL женский"
32,in_stock,Black Signature,Tuxedo,YSL,uni,sweet,шипровые,,"Лист фиалки, Кориандр и Бергамот","Роза, Черный перец и Ландыш","Пачули, Бурбонская ваниль и Серая амбра",,"YSL Tuxedo — андрогинный шедевр от Saint Laurent. Этот аромат 2018 года — манифест элегантности без гендерных ограничений. Лист фиалки и кориандр открывают его с зелёной, почти холодной свежестью, роза и чёрный перец в сердце придают характер и стать, а пачули с бурбонской ванилью и серой амброй создают шлейф, достойный красной дорожки. Смокинг не требует пола.

Этот аромат чаще ищут: YSL Tuxedo, Ив Сен Лоран Смокинг, YSL унисекс элегантный, tuxedo ysl отзывы, шипровый унисекс парфюм"
33,in_stock,Wild Silk,Babycat,YSL,uni,oriental,восточные пряные,,"Мандарин, Кардамон, Корица","Туркиш роза, Уд, Жасмин","Бобы тонка, Пачули, Ваниль, Амбра",hit,"YSL Babycat — мягкий, чувственный мускус от Saint Laurent, вдохновлённый образом дикой кошки. Несмотря на название «кошачий» — это совершенно ненавязчивый и универсальный аромат: ванильно-мускусная основа создаёт ощущение тёплой, бархатистой кожи. Идеален для тех, кто ищет подписной «кожный» аромат без лишней громкости.

Этот аромат чаще ищут: YSL Babycat, Ив Сен Лоран Бэйбикэт, мускусный парфюм кошка YSL, babycat ysl отзывы, мягкий ванильный парфюм унисекс"
34,in_stock,Cardamon Spice,Intoxicated,Killian,uni,oriental,восточные пряные,,,,,,"By Kilian Intoxicated — пряная одержимость в каждой капле. Кардамон здесь возведён в культ: его жгучая специйность открывается мгновенно и ведёт весь аромат. Это не просто «восточная» история — это кофейня в Стамбуле на рассвете, где пахнет специями, дымом и тёплым молоком. Дом By Kilian, основанный Килианом Хеннесси, работает только с дорогими сырьевыми материалами — и здесь это ощущается в каждой ноте.

Этот аромат чаще ищут: By Kilian Intoxicated, Килиан Интоксикейтед, кардамон кофе парфюм Килиан, kilian intoxicated отзывы, пряный восточный нишевый унисекс"
35,in_stock,Vanilla Coast,Vanilla vibes,Killian,uni,oriental,восточные гурманские,,"Ваниль, Морская соль","Ваниль абсолю, Орхидея","Мускус, Тонка, Сандал, Бензоин",hit,"By Kilian Vanilla Vibes — ода солнечному пляжу и беспечному лету. Ваниль здесь подана в морской оправе: морская соль в открытии придаёт ей неожиданную свежесть, орхидея и ваниль абсолю создают кремовое, бархатистое сердце, а тонка и мускус в финале удерживают аромат долго и нежно. Это аромат отпуска — тот самый, который хочется захватить с собой домой.

Этот аромат чаще ищут: By Kilian Vanilla Vibes, Килиан ваниль вайбс, морской ванильный парфюм, kilian vanilla vibes отзывы, ванильный пляжный унисекс"
36,in_stock,Royal Blush,Delina Exclisif,Parfums de Marly,f,fresh,восточные,,"Личи, Груша, Бергамот, Грейпфрут и Розовый перец","Турецкая роза, Уд и Ладан","Ваниль, Амбра, Древесные ноты, Мускус, Ветивер и Эвернил",hit,"Parfums de Marly Delina Exclusif — роскошная лимитированная версия культовой Delina. Если оригинал уже был шедевром, то Exclusif подняла планку ещё выше: более концентрированная формула, более насыщенные восточные ноты. Личи и груша открывают его фруктово-сочно, турецкая роза с удом создают пышное, неотразимое сердце, а ваниль и амбра в финале — это чистая роскошь. Для тех, кто любит быть в центре внимания.

Этот аромат чаще ищут: Parfums de Marly Delina Exclusif, Парфюм де Марли Делина Эксклюзив, PDM Delina Exclusif отзывы, роза личи уд женский, розовый нишевый парфюм для женщин"
37,in_stock,Clean Couture,Valaya,Parfums de Marly,f,floral,цветочные фруктовые,,"Роза, Грейпфрут, Личи, Бергамот","Фрезия, Пион, Жасмин","Мускус, Кедр, Сандал",,"Parfums de Marly Valaya — цветочная нежность в духе конного двора Версаля. Этот аромат назван в честь скаковой лошади из коллекции Наполеона. Роза и грейпфрут открывают его с элегантной фруктовостью, пион и фрезия создают воздушное, романтичное сердце, а мускус с кедром дают лёгкий, чистый шлейф. Valaya — для тех, кто ценит аристократизм без излишеств.

Этот аромат чаще ищут: Parfums de Marly Valaya, Парфюм де Марли Валайя, PDM Valaya отзывы, цветочный элегантный женский нишевый, PDM розовый лёгкий женский"
38,in_stock,Warm cashemere,Althair,Parfums de Marly,m,oriental,восточные гурманские,,"Корица, Кардамон, Цветок апельсина и Бергамот",Бурбонская ваниль и Элеми,"Пралине, Мускус, Ambroxan, Гваяк, Бобы тонка и Засахаренный миндаль",hit,"Parfums de Marly Althair — роскошный восточный аромат для мужчин с дворцовым характером. Корица, кардамон и бергамот создают пряное, праздничное открытие, бурбонская ваниль в сердце добавляет сладкую глубину, а базовый аккорд из пралине, тонки и засахаренного миндаля превращает его в настоящую гастрономическую поэзию. Для вечеров, когда важно оставить след.

Этот аромат чаще ищут: Parfums de Marly Althair, Парфюм де Марли Альтаир, PDM Althair мужской, ванильный гурман мужской нишевый, althair parfums de marly отзывы"
39,in_stock,White horizon,My Way,ARMANI,f,floral,цветочные,,Цветок апельсина и Бергамот,Тубероза и Индийский жасмин,"Мадагаскарская ваниль, Белый мускус и Вирджинский кедр",,"Giorgio Armani My Way — аромат, открытый миру. Запущенный в 2020 году, он стал гимном открытости и путешествий: бергамот и цветок апельсина ведут в тёплые, цветочные края, где тубероза встречается с индийским жасмином. Мадагаскарская ваниль и вирджинский кедр создают чистый, облегчённый финал. Сырьё для этого аромата собирается в разных уголках мира, и это не просто слова — это часть его ДНК.

Этот аромат чаще ищут: Armani My Way, Армани Май Вэй, цветочный женский Армани, my way armani отзывы, туберроза жасмин женский парфюм"
